cell_type	cell_source	clean_cell_name	model	key	reference	comment
ES-I3_Cell_Line		Es-I3 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E001_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
ES-WA7_Cell_Line		Es-Wa7 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E002_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H1_Cell_Line		H1 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E003_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H1_BMP4_Derived_Mesendoderm_Cultured_Cells		H1 Bmp4 Derived Mesendoderm Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E004_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H1_BMP4_Derived_Trophoblast_Cultured_Cells		H1 Bmp4 Derived Trophoblast Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E005_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H1_Derived_Mesenchymal_Stem_Cells		H1 Derived Mesenchymal Stem Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E006_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H1_Derived_Neuronal_Progenitor_Cultured_Cells		H1 Derived Neuronal Progenitor Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E007_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H9_Cell_Line		H9 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E008_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H9_Derived_Neuronal_Progenitor_Cultured_Cells		H9 Derived Neuronal Progenitor Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E009_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
H9_Derived_Neuron_Cultured_Cells		H9 Derived Neuron Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E010_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
hESC_Derived_CD184+_Endoderm_Cultured_Cells		Hesc Derived CD184+ Endoderm Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E011_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
hESC_Derived_CD56+_Ectoderm_Cultured_Cells		Hesc Derived CD56+ Ectoderm Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E012_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
hESC_Derived_CD56+_Mesoderm_Cultured_Cells		Hesc Derived CD56+ Mesoderm Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E013_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HUES48_Cell_Line		Hues48 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E014_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HUES6_Cell_Line		Hues6 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E015_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HUES64_Cell_Line		Hues64 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E016_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
IMR90_Cell_Line		Imr90 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E017_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
iPS-15b_Cell_Line		Ips-15B Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E018_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
iPS-18_Cell_Line		Ips-18 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E019_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
iPS-20b_Cell_Line		Ips-20B Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E020_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
iPS_DF_6.9_Cell_Line		Ips Df 6.9 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E021_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
iPS_DF_19.11_Cell_Line		Ips Df 19.11 Cell Line	roadmap_15	roadmap_chromhmm/hg38_lift/E022_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells		Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E023_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
4star		4Star	roadmap_15	roadmap_chromhmm/hg38_lift/E024_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells		Adipose Derived Mesenchymal Stem Cell Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E025_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells		Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E026_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Breast_Myoepithelial_Cells		Breast Myoepithelial Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E027_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Breast_vHMEC		Breast Vhmec	roadmap_15	roadmap_chromhmm/hg38_lift/E028_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD14_Primary_Cells		CD14 Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E029_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD15_Primary_Cells		CD15 Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E030_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD19_Primary_Cells_Cord_BI		CD19 Primary Cells Cord Bi	roadmap_15	roadmap_chromhmm/hg38_lift/E031_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD19_Primary_Cells_Peripheral_UW		CD19 Primary Cells Peripheral Uw	roadmap_15	roadmap_chromhmm/hg38_lift/E032_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD3_Primary_Cells_Cord_BI		CD3 Primary Cells Cord Bi	roadmap_15	roadmap_chromhmm/hg38_lift/E033_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD3_Primary_Cells_Peripheral_UW		CD3 Primary Cells Peripheral Uw	roadmap_15	roadmap_chromhmm/hg38_lift/E034_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD34_Primary_Cells		CD34 Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E035_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD34_Cultured_Cells		CD34 Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E036_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4_Memory_Primary_Cells		CD4 Memory Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E037_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4_Naive_Primary_Cells		CD4 Naive Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E038_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25-_CD45RA+_Naive_Primary_Cells		CD4+ CD25- CD45Ra+ Naive Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E039_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25-_CD45RO+_Memory_Primary_Cells		CD4+ CD25- CD45Ro+ Memory Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E040_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells		CD4+ CD25- Il17- Pma-Ionomycin Stimulated Macs Purified Th Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E041_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells		CD4+ CD25- Il17+ Pma-Ionomcyin Stimulated Th17 Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E042_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25-_Th_Primary_Cells		CD4+ CD25- Th Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E043_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25+_CD127-_Treg_Primary_Cells		CD4+ CD25+ CD127- Treg Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E044_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4+_CD25int_CD127+_Tmem_Primary_Cells		CD4+ CD25Int CD127+ Tmem Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E045_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD56_Primary_Cells		CD56 Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E046_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD8_Naive_Primary_Cells		CD8 Naive Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E047_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD8_Memory_Primary_Cells		CD8 Memory Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E048_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells		Chondrocytes From Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E049_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Mobilized_CD34_Primary_Cells_Female		Mobilized CD34 Primary Cells Female	roadmap_15	roadmap_chromhmm/hg38_lift/E050_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Mobilized_CD34_Primary_Cells_Male		Mobilized CD34 Primary Cells Male	roadmap_15	roadmap_chromhmm/hg38_lift/E051_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Muscle_Satellite_Cultured_Cells		Muscle Satellite Cultured Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E052_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Neurosphere_Cultured_Cells_Cortex_Derived		Neurosphere Cultured Cells Cortex Derived	roadmap_15	roadmap_chromhmm/hg38_lift/E053_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived		Neurosphere Cultured Cells Ganglionic Eminence Derived	roadmap_15	roadmap_chromhmm/hg38_lift/E054_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Fibroblast_Primary_Cells_skin01		Penis Foreskin Fibroblast Primary Cells Skin01	roadmap_15	roadmap_chromhmm/hg38_lift/E055_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Fibroblast_Primary_Cells_skin02		Penis Foreskin Fibroblast Primary Cells Skin02	roadmap_15	roadmap_chromhmm/hg38_lift/E056_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02		Penis Foreskin Keratinocyte Primary Cells Skin02	roadmap_15	roadmap_chromhmm/hg38_lift/E057_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03		Penis Foreskin Keratinocyte Primary Cells Skin03	roadmap_15	roadmap_chromhmm/hg38_lift/E058_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
